F_15;F_14;F_21;F_25;F_79;F_26;F_75;F_24;F_76;F_78;F_27;F_19;F_23;F_70;F_52;F_65;F_64;F_77;F_51;F_22;F_20;F_13;F_62;F_39;F_66;F_63;F_53;F_3;F_50;F_57;F_38;F_11;F_72;F_49;F_37;F_74;F_59;F_18;F_40;F_6;F_44;F_80;F_71;F_60;F_73;F_8;F_46;F_61;F_48;F_32;F_33;target
0.0184602064;0.0240201034;0.607004;0.0442074482;-0.0656859999999999;0.0470657837;-0.97274;0.658261;-0.0543139999999999;-0.049192;0.256074;1.3447541125;-1.3642938684205426;-0.6899999999999995;-0.020018;-0.030043;-0.068161;-0.10499;-0.0849839999999999;0.663937;8.7301490358;0.050542125961705;1.317074;-0.011641;0.017127;-0.096237;0.001875;4.83;-0.0271339999999999;1.33;-0.067659;0.0572395248693268;-30.309999999999988;0.838750000000001;-0.0016019999999999;0.0337906249894318;-9.179999999999993;1.175047438608428;-0.009939;0.0633651512301853;1.0999999999999996;-0.1520649999999999;0.0084068811982422;0.007830450785855;0.0097780729725047;-0.0758874514;-7.329999999999998;0.0395108003821164;0.0261891934677467;-4.186674445494383;5.711854275060961;0
0.0187101958;0.0241690027;0.600948;0.0412915528;-0.0753829999999999;0.0467107939;-0.6281800000000004;0.645673;-0.0668489999999999;0.22545;0.259232;1.6582026448;-1.2672949704285672;-1.09;0.254658;0.245863;-0.053069;-0.1115749999999999;-0.0797080000000001;0.668296;8.3242429792;0.0491187629183646;1.811377;0.261982;0.008242;-0.102754;-0.0133909999999999;4.83;-0.0270279999999999;0.5700000000000003;-0.05922;0.0563416220581729;-36.67;1.3574029999999997;-0.0012679999999999;0.0344241813186767;-7.460000000000008;1.087525171944475;-0.0223489999999999;0.0679676062137648;1.0199999999999996;-0.1610829999999999;0.0163240552320046;0.0180152423168015;0.0094291470277904;0.1793490694;5.179999999999993;0.038009026382339;0.0239932722245188;-4.186674445494383;5.305751467596842;0
0.0193679344;0.0241858783;0.602631;0.0415329366;-0.0733269999999999;0.047065789;-0.6555599999999995;0.6496000000000001;-0.0622619999999999;0.23026;0.291595;2.3172612808;0.5499147251184685;-2.2;0.26046;0.2496399999999999;-0.043431;-0.1121339999999999;-0.0668569999999999;0.679165;8.1041794182;0.0465073936731052;2.1219990000000006;0.269626;0.010682;-0.0995559999999999;-0.0097459999999999;4.83;-0.020482;0.1400000000000005;-0.0485289999999998;0.05654766716822;-27.039999999999992;0.8541600000000003;0.005454;0.0334241384071554;5.780000000000001;1.105570157348925;-0.0180799999999998;0.072211796723903;0.9000000000000004;-0.117696;0.0210910190484475;0.0170223920596895;0.0139804927460956;0.1711529041;20.870000000000005;0.0365992042145;0.020680947746986;-5.186674445494383;-2.8522286519730287;0
0.0190561372;0.0242953062;0.601345;0.0416158489;-0.070722;0.0426027247;-0.7936099999999993;0.656643;-0.0727409999999999;0.2377349999999999;0.274304;2.5744842861;0.23640426395968564;-3.0200000000000014;0.269431;0.2573709999999999;-0.0380799999999998;-0.1180959999999999;-0.0554750000000001;0.683519;11.0411265689;0.042328261185521;2.151238000000001;0.2772889999999999;0.0176419999999999;-0.0990989999999999;-0.003528;4.83;-0.013691;0.3000000000000007;-0.0454269999999998;0.0419311121744942;-29.14999999999999;0.8424810000000011;0.008282;0.0315794169959164;-3.890000000000001;1.086162854047821;-0.012097;0.0718138712875768;-0.0899999999999998;-0.167233;0.0198485358122012;0.0025935722477259;0.0044891773097188;0.1542985479;25.64;0.0334510426722089;0.0164049999380203;-5.186674445494383;-1.2261519546856101;0
0.0187519696;0.0239382774;0.596521;0.0413519118;-0.0689819999999999;0.0424060712;-1.041929999999999;0.656471;-0.086649;0.242151;0.275482;2.6603321351;0.08214451951360312;-3.700000000000001;0.27011;0.260061;-0.039742;-0.12636;-0.0631659999999999;0.683382;12.9223824227;0.0399436483263723;1.5296920000000007;0.281612;0.017856;-0.10399;-0.0055439999999999;4.83;-0.013409;-1.0099999999999998;-0.0455639999999998;0.0462342767271186;-30.55000000000001;0.3103239999999996;0.0034579999999999;0.0280626889691015;-8.219999999999999;1.029172999726171;-0.0118309999999999;0.0727682521078348;0.3000000000000007;-0.185813;0.0188215771933095;0.0084847539667184;0.0105232343582458;0.1250060307;10.36;0.0327506508994747;0.0114665780202028;-5.186674445494383;-0.4260568801986199;0
0.0171434614;0.0238953798;0.599077;0.0412393971;-0.070635;0.0438225376;-1.13969;0.654818;-0.084038;0.241738;0.270534;2.3664880621;-1.1570105864907432;-3.390000000000001;0.270532;0.259374;-0.037968;-0.1381960000000001;-0.0518699999999998;0.691735;11.5014498683;0.0365393560081674;1.6511009999999988;0.281199;0.0134779999999999;-0.101553;-0.0094489999999999;4.83;-0.011967;-1.8200000000000005;-0.034993;0.0482846602337309;-44.05;0.089231999999999;0.0061869999999999;0.0240132513134174;-12.36999999999999;1.017521856048105;-0.0134839999999999;0.0734296764562378;0.3499999999999996;-0.210858;0.0195760548644075;0.0137280894563096;0.0108836478776407;0.1192902274;-4.009999999999991;0.0308797052962004;0.006608497509548;-5.186674445494383;6.001037242118006;0
0.0173492892;0.0238417401;0.596997;0.0413354894;-0.078262;0.0444732569;-1.7396019999999996;0.6520109999999999;-0.0894859999999999;0.232561;0.268549;1.9754805953;-0.22275337140560436;-3.360000000000001;0.262942;0.25411;-0.0378049999999999;-0.148662;-0.0543109999999998;0.691898;9.2659293381;0.0320729037924438;1.2637980000000013;0.273337;0.0115219999999999;-0.1036329999999999;-0.0169960000000001;4.83;-0.0089129999999999;-1.5200000000000014;-0.035417;0.0510767838301674;-42.13000000000001;-0.4192909999999994;0.0059169999999999;0.0212923005861331;-13.53;1.007190613229461;-0.016291;0.0740585366826948;0.4299999999999997;-0.196266;0.019216672772608;0.0187193282172986;0.0140080584063242;0.1379404568;-5.13000000000001;0.0266663159474929;0.0012025703783103;-6.186674445494383;1.3781025905227717;0
0.0174582371;0.0238355658;0.596388;0.0411501192;-0.0849449999999999;0.0419542205;-1.5522650000000002;0.647112;-0.096762;0.234048;0.248413;2.0603024853;-0.8512968278723627;-3.209999999999999;0.266804;0.254913;-0.0417779999999999;-0.1497359999999998;-0.0552379999999999;0.6914070000000001;9.6548662438;0.026784611145632;1.5270019999999995;0.277895;0.0033409999999999;-0.105179;-0.022012;4.83;-0.0171829999999999;-2.49;-0.0202759999999997;0.0542158112038234;-56.040000000000006;-0.330095;0.007372;0.0152040640152494;-15.590000000000003;1.010754106222275;-0.0127439999999999;0.074052103862542;0.0200000000000013;-0.275734;0.0204985484555944;0.0229786662941936;0.0068338480338755;0.1540351496;-5.269999999999996;0.020803753278712;-0.0042201265205141;-6.186674445494383;5.266696330528377;0
0.0153761636;0.0238355658;0.601731;0.0423059174;-0.0897249999999999;0.0406829381;-1.6735190000000006;0.645683;-0.1221219999999999;0.239251;0.249833;2.287283591;-1.0731366606140949;-4.210000000000001;0.274564;0.2606179999999999;-0.047776;-0.1783570000000001;-0.0654520000000001;0.6899329999999999;12.1417831978;0.0196485499594702;1.3619109999999992;0.2869899999999999;0.0010709999999999;-0.1004859999999999;-0.0297649999999999;4.83;-0.01117;-2.58;-0.0276760000000001;0.0574866368830066;-62.040000000000006;-0.1472630000000006;0.0125629999999999;0.0076774137167685;-16.060000000000002;0.9886188698671516;-0.01227;0.0741206205652019;0.1099999999999994;-0.3038040000000001;0.0187560721795492;0.0262687995704546;0.0052098410245441;0.1605584571;-4.460000000000008;0.013580062952935;-0.0108699823346327;-5.186674445494383;5.566010494130304;0
0.0150859012;0.0238421033;0.613995;0.0426203604;-0.1052799999999999;0.0404013686;-1.804506;0.647209;-0.101647;0.2407599999999999;0.243643;2.837950067;-0.012892785644572559;-5.699999999999999;0.274614;0.261234;-0.0381729999999997;-0.1391909999999998;-0.0357689999999998;0.7130640000000001;10.1096642744;0.0181174459700813;1.2334409999999991;0.289791;-0.0010779999999999;-0.082141;-0.035922;4.83;-0.00719;-4.0;-0.0081039999999998;0.0603714076676019;-46.28;-0.0064120000000009;0.0038839999999999;0.0062827804726151;-14.61;0.985533543575692;-0.0110519999999999;0.0740404643764654;0.08;-0.334503;0.0114477236373045;0.028953892701126;0.0078168654961123;0.1529365306;-5.689999999999998;0.0097495442310106;-0.0152935128858372;-6.186674445494383;0.07976346747851387;0
